,,,
Date,Description,Amount,Running Bal.
7/12/2015,Beginning balance as of 07/12/2015,,"14,568.67"
7/13/2015,CHECK TO ED,-250,"14,318.67"
7/14/2015,CASANERO INC DES:DIRECT DEP,7810.59,"22,129.26"
7/14/2015,CHECK 4125,-150,"21,979.26"
7/15/2015,MILAGRO INC:DIR DEP,2250.65,"24,229.91"
7/16/2015,ATM WITHDRWL COLLIN TX,-600,"23,629.91"
7/16/2015,LEG INSURANCE,-124.65,"23,505.26"
7/17/2015,Check 4126,-60,"23,445.26"
7/24/2015,CASANERO INC DES:DIRECT DEP,7810.59,"31,255.85"
7/28/2015,KABULI LOAN PAYMENT,-213,"31,042.85"
7/29/2015,IRS TAX REFUND,512.13,"31,554.98"
7/29/2015,CHECK DEPOSIT,327.15,"31,882.13"
7/31/2015,MILAGRO INC:DIR DEP,2250.65,"34,132.78"
8/3/2015,DOG INSURANCE,-200,"33,932.78"
8/3/2015,Online scheduled transfer to Savings Account,-200,"33,732.78"
8/4/2015,HOME MTG,-1400,"32,332.78"
8/4/2015,CHECK 4127,-55,"32,277.78"
8/7/2015,VERIZON,-201,"32,076.78"
8/7/2015,HOME INSURANCE,-100,"31,976.78"
8/7/2015,CAR INSURANCE,-80,"31,896.78"
8/10/2015,CHECK 4128,-1500,"30,396.78"
8/10/2015,DISCOVER CREDIT CARD,-4342,"26,054.78"
8/11/2015,Check 4129,-90,"25,964.78"
8/11/2015,CITI CREDIT CARD,-102.14,"25,862.64"
8/12/2015,Check 4130,-500,"25,362.64"
8/14/2015,CASANERO INC DES:DIRECT DEP,7810.59,"33,173.23"
8/14/2015,MILAGRO INC:DIR DEP,2250.65,"35,423.88"
8/17/2015,Check 4131,-600,"34,823.88"
8/17/2015,LEG INSURANCE,-124.65,"34,699.23"
8/20/2015,ATM WITHDRWL COLLIN TX,-500,"34,199.23"
8/24/2015,CHECK DEPOSIT,650,"34,849.23"
8/24/2015,CHECK DEPOSIT,101,"34,950.23"
8/24/2015,CHECK DEPOSIT,176.72,"35,126.95"
8/24/2015,CHECK DEPOSIT,250,"35,376.95"
8/24/2015,CHECK DEPOSIT,12.96,"35,389.91"
8/24/2015,ROSS CLOTHING,-250,"35,139.91"
8/26/2015,CASANERO INC DES:DIRECT DEP,7810.59,"42,950.50"
8/26/2015,CASANERO INC DES:DIRECT DEP,543.23,"43,493.73"
